index	prediction	positive_score
0	negative	-2.751995325088501
1	positive	0.253878116607666
2	positive	1.9695216417312622
3	negative	-2.3373308181762695
4	positive	1.221124529838562
5	positive	1.3856481313705444
6	positive	1.2630902528762817
7	negative	-2.146061420440674
8	positive	0.7802729606628418
9	positive	2.317826271057129
10	negative	-2.676222801208496
11	negative	-1.36619234085083
12	positive	0.3687644600868225
13	negative	-1.3000788688659668
14	negative	-2.461479902267456
15	positive	1.814408540725708
16	negative	0.08560945093631744
17	negative	-0.6802067160606384
18	negative	-1.6805598735809326
19	negative	-1.7253564596176147
20	positive	2.6581122875213623
21	negative	-0.9852155447006226
22	negative	-1.0338295698165894
23	negative	-0.29531145095825195
24	negative	-2.6303343772888184
25	negative	-1.4941617250442505
26	negative	-1.5230295658111572
27	positive	2.920642375946045
28	negative	-2.656569719314575
29	negative	-1.622592568397522
30	negative	-2.6869583129882812
31	positive	0.34471574425697327
32	negative	0.0980755165219307
33	negative	-0.4175688922405243
34	negative	-0.35895252227783203
35	positive	2.4585397243499756
36	negative	-0.3387868106365204
37	positive	0.35731711983680725
38	negative	-1.5120600461959839
39	positive	2.3043549060821533
40	positive	1.5385594367980957
41	negative	0.16926506161689758
42	negative	-2.0856847763061523
43	negative	-0.9352034330368042
44	negative	-2.6573710441589355
45	negative	-1.7663248777389526
46	negative	-2.3727619647979736
47	negative	-0.6942588686943054
48	negative	-2.415956735610962
49	negative	-0.17758965492248535
50	positive	0.8790921568870544
51	positive	0.1879541128873825
52	positive	1.220493197441101
53	negative	-1.598575472831726
54	negative	-1.9792386293411255
55	positive	2.035172700881958
56	positive	2.0910801887512207
57	negative	-0.3651898503303528
58	negative	-1.6474765539169312
59	negative	-1.9817546606063843
60	positive	0.41207820177078247
61	negative	-2.219979763031006
62	negative	-1.708484172821045
63	negative	-0.6086719036102295
64	negative	-2.4218244552612305
65	positive	1.255773663520813
66	negative	-1.0839695930480957
67	positive	0.3409671187400818
68	positive	2.2928948402404785
69	negative	0.08819688111543655
70	negative	-1.99506676197052
71	negative	-1.0890557765960693
72	negative	-2.0808145999908447
73	positive	1.2671988010406494
74	negative	-1.2076387405395508
75	negative	-1.355210542678833
76	negative	-0.8389280438423157
77	positive	0.4159909188747406
78	negative	-0.7863470911979675
79	negative	-0.6037705540657043
80	negative	-2.584226131439209
81	positive	0.7298649549484253
82	negative	-1.7845234870910645
83	positive	0.7669090032577515
84	negative	-0.07909449189901352
85	positive	2.0734310150146484
86	negative	-2.143174409866333
87	positive	1.1722487211227417
88	positive	1.8279505968093872
89	negative	-2.317774534225464
90	positive	2.264328956604004
91	positive	2.151557683944702
92	negative	-1.9282938241958618
93	negative	-1.0473238229751587
94	positive	1.2780531644821167
95	positive	0.33867165446281433
96	negative	-1.9190938472747803
97	positive	1.59964919090271
98	positive	0.5274875164031982
99	negative	-1.8411847352981567
100	negative	-0.9832121729850769
101	positive	1.6163638830184937
102	negative	-1.9661403894424438
103	negative	-0.3577820062637329
104	negative	-1.1376830339431763
105	negative	-2.2772629261016846
106	positive	1.2692369222640991
107	positive	2.136793375015259
108	negative	-1.084639072418213
109	positive	1.6027326583862305
110	positive	1.3253346681594849
111	positive	0.32497820258140564
112	positive	1.0203083753585815
113	positive	1.9940719604492188
114	negative	-2.6068525314331055
115	positive	1.5048531293869019
116	positive	2.020622730255127
117	positive	2.7721643447875977
118	negative	-1.2964242696762085
119	negative	-2.5243260860443115
120	negative	-2.3631932735443115
121	positive	0.9016798138618469
122	negative	-1.3271424770355225
123	negative	-2.4468295574188232
124	negative	-2.661008596420288
125	positive	1.4410715103149414
126	negative	-1.793756365776062
127	positive	2.125516176223755
128	positive	2.132335662841797
129	positive	0.3899870812892914
130	negative	-2.9841320514678955
131	positive	1.2386878728866577
132	positive	2.8448710441589355
133	negative	-1.3526616096496582
134	negative	-2.3882553577423096
135	negative	-1.5446548461914062
136	positive	1.113610863685608
137	negative	-2.2352147102355957
138	negative	-1.9817641973495483
139	negative	-2.0474655628204346
140	negative	-0.4491128921508789
141	negative	-0.2436937391757965
142	positive	2.4039525985717773
143	positive	1.7409696578979492
